SOA Code,SOA Name,Ward Name,Locality,District/Borough,Total Population,"% of Total Population aged 60+ (Females), 65+ (Males)"
E01031285,Manor South West,Manor,North Leamington ,Warwick,"2,259",27.0%
E01031247,Vale of the Red Horse,Vale of the Red Horse,Stratford-on-Avon & Shipston ,Stratford-on-Avon,"2,252",26.8%
E01031022,Coleshill South - Hospital & Southfields,Coleshill South,North Warwickshire - South ,North Warwickshire,"1,797",26.7%
E01031208,Kinwarton,Kinwarton,"Alcester, Studley & Henley ",Stratford-on-Avon,"2,077",26.6%
E01031251,Wellesbourne South,Wellesbourne,"Southam, Wellesbourne & Kineton ",Stratford-on-Avon,"1,229",26.5%
E01031195,Claverdon,Claverdon,"Alcester, Studley & Henley ",Stratford-on-Avon,"2,345",26.5%
E01031193,Brailes,Brailes,Stratford-on-Avon & Shipston ,Stratford-on-Avon,"2,096",26.4%
E01031255,Castle Green & Malthouse,Abbey,Kenilworth ,Warwick,"1,444",26.2%
E01031151,Binley Woods North,Earl Craven and Wolston,Rugby Rural ,Rugby,"1,511",26.1%
E01031243,Earlswood,Tanworth,"Alcester, Studley & Henley ",Stratford-on-Avon,"1,979",26.1%
E01031162,Hillmorton East and Wharf,Hillmorton,Rugby Town East ,Rugby,"1,621",26.0%
E01031027,Corley,Fillongley,North Warwickshire - South ,North Warwickshire,"1,596",25.9%
E01031304,Borrowell,St John's,Kenilworth ,Warwick,"1,514",25.9%
E01031021,Coleshill South - Centre,Coleshill South,North Warwickshire - South ,North Warwickshire,"1,627",25.9%
E01031106,Slough South & Heath,Slough,Bedworth North ,Nuneaton & Bedworth,"1,461",25.9%
E01031237,Stratford Mount Pleasant West,Stratford Mount Pleasant,Stratford-on-Avon & Shipston ,Stratford-on-Avon,"1,420",25.8%
E01031143,Caldecott South and Rural,Caldecott,Rugby Town West ,Rugby,"1,487",25.8%
E01031113,Weddington North,Weddington,Weddington & St. Nicolas ,Nuneaton & Bedworth,"1,435",25.7%
E01031183,"Alcester South, Arrow & Weethley",Alcester,"Alcester, Studley & Henley ",Stratford-on-Avon,"1,555",25.6%
E01031189,Dunnington and Salford Priors,Bidford and Salford,"Alcester, Studley & Henley ",Stratford-on-Avon,"1,531",25.5%
E01031254,Castle & Burton Green,Abbey,Kenilworth ,Warwick,"1,476",25.5%
E01031282,"Lapworth South, Bushwood, Lowsonford & Rowington",Lapworth,Warwick Rural ,Warwick,"1,494",25.4%
E01031079,Exhall West,Exhall,Bedworth South ,Nuneaton & Bedworth,"1,535",25.4%
E01031311,Emscote & Spinney Hill North East,Warwick North,Warwick ,Warwick,"1,321",25.4%
E01031063,Bede Cannons,Bede,Bedworth South ,Nuneaton & Bedworth,"1,230",25.3%
E01031244,Tanworth,Tanworth,"Alcester, Studley & Henley ",Stratford-on-Avon,"1,922",25.2%
E01031159,Fosse West,Fosse,Rugby Rural ,Rugby,"1,570",25.2%
E01031023,Curdworth and Wishaw,Curdworth,North Warwickshire - West ,North Warwickshire,"1,634",25.2%
E01031221,Southam West,Southam,"Southam, Wellesbourne & Kineton ",Stratford-on-Avon,"1,460",25.1%
E01031215,Shipston North,Shipston,Stratford-on-Avon & Shipston ,Stratford-on-Avon,"1,824",25.1%
E01031238,Stratford Mount Pleasant East,Stratford Mount Pleasant,Stratford-on-Avon & Shipston ,Stratford-on-Avon,"1,285",25.0%
E01031186,Alcester East & Island,Alcester,"Alcester, Studley & Henley ",Stratford-on-Avon,"1,538",25.0%
E01031122,Whitestone South,Whitestone,Whitestone & Bulkington/Weddington & St. Nicolas,Nuneaton & Bedworth,"1,512",24.9%
E01031206,"Kineton Castle, Lt Kineton & Combrook",Kineton,"Southam, Wellesbourne & Kineton ",Stratford-on-Avon,"1,500",24.8%
E01031166,Leam Valley,Leam Valley,Rugby Rural ,Rugby,"1,899",24.7%
E01031310,Woodloes South East & Spinney Hill South,Warwick North,Warwick ,Warwick,"1,328",24.6%
E01031246,"Newbold-on-Stour, Ilmington East & Whitchurch",Tredington,Stratford-on-Avon & Shipston ,Stratford-on-Avon,"1,093",24.6%
E01031269,"Sherbourne, Barford & Wasperton",Budbrooke,Warwick Rural ,Warwick,"1,553",24.5%
E01031301,Offchurch & Hunningham,Radford Semele,Warwick Rural ,Warwick,"1,411",24.5%
E01031187,Aston Cantlow,Aston Cantlow,"Alcester, Studley & Henley ",Stratford-on-Avon,"2,013",24.5%
E01031277,Cubbington West & New Cubbington,Cubbington,Warwick Rural ,Warwick,"1,607",24.5%
E01031213,Sambourne,Sambourne,"Alcester, Studley & Henley ",Stratford-on-Avon,"1,817",24.4%
E01031210,Long Itchington West & Ufton,Long Itchington,"Southam, Wellesbourne & Kineton ",Stratford-on-Avon,"1,360",24.4%
E01031197,Ladbroke & Priors,Fenny Compton,"Southam, Wellesbourne & Kineton ",Stratford-on-Avon,"1,161",24.3%
E01031323,"Priory Park, Packmores & Hospital",Warwick West,Warwick ,Warwick,"1,590",24.2%
E01031033,Kingsbury South,Kingsbury,North Warwickshire - West ,North Warwickshire,"1,885",24.1%
E01031014,Mancetter North,Atherstone South and Mancetter,North Warwickshire - East ,North Warwickshire,"1,268",24.1%
E01031016,Baddesley Ensor West,Baddesley and Grendon,North Warwickshire - North ,North Warwickshire,"1,576",24.0%
E01031199,"Deppers Bridge, Chester & Kings",Harbury,"Southam, Wellesbourne & Kineton ",Stratford-on-Avon,"1,514",24.0%
E01031018,"Baddesley Common, Baxterley and Merevale",Baddesley and Grendon,North Warwickshire - North ,North Warwickshire,"1,190",23.9%
E01031299,Glass House & Windy Arbour,Park Hill,Kenilworth ,Warwick,"1,477",23.8%
E01031284,"Leek Wootton, Guys Cliffe & Beausale",Leek Wootton,Warwick Rural ,Warwick,"1,255",23.7%
E01031283,"Wroxhall, Hasely & Honiley",Leek Wootton,Warwick Rural ,Warwick,"1,234",23.7%
E01031037,Polesworth East - St Helena,Polesworth East,North Warwickshire - North ,North Warwickshire,"1,436",23.7%
