DATA_DADES;HOMES;SECCIO_CENSAL;DONES;EDAT_0_A_14;EDAT_15_A_24;EDAT_25_A_64;EDAT_65_A_MES;NACIONALS;COMUNITARIS;ESTRANGERS
30/03/15;796;10039;939;225;159;1057;294;1357;106;272
30/03/15;901;10040;975;207;170;1079;420;1505;60;311
30/03/15;769;10041;783;152;118;915;367;1283;75;194
30/03/15;1182;10042;1251;390;159;1580;304;1911;146;376
30/03/15;913;10043;918;239;209;1143;240;1253;190;388
30/03/15;735;10044;775;142;111;925;332;1231;118;161
30/03/15;586;10045;690;161;114;771;230;1106;92;78
30/03/15;618;10046;665;130;76;742;335;1079;83;121
30/03/15;921;10047;939;153;185;1120;402;1462;160;238
30/03/15;773;10048;837;213;151;925;321;1306;145;159
30/03/15;618;10049;675;146;101;755;291;1125;89;79
30/03/15;764;10050;862;179;157;951;339;1401;84;141
30/03/15;758;10051;823;255;120;897;309;1343;127;111
30/03/15;1159;10052;1153;415;262;1449;186;1957;222;133
30/03/15;892;10053;906;258;265;1082;193;1517;182;99
30/03/15;480;10054;512;170;111;595;116;844;86;62
30/03/15;1263;10055;1316;458;378;1419;324;2186;229;164
30/03/15;904;10056;905;240;112;1202;255;1337;217;255
30/03/15;677;10057;643;141;72;844;263;1057;119;144
30/03/15;537;10058;593;155;60;700;215;922;92;116
30/03/15;799;10059;841;239;79;1041;281;1261;193;186
30/03/15;809;10060;788;240;117;1010;230;1192;137;268
30/03/15;846;10061;940;245;125;1012;404;1564;137;85
30/03/15;780;10062;799;253;146;916;264;1386;93;100
30/03/15;597;10063;651;134;118;718;278;1101;74;73
30/03/15;822;10064;861;228;127;1036;292;1371;143;169
30/03/15;780;10065;796;234;124;956;262;1381;97;98
30/03/15;1048;10066;1086;420;140;1241;333;1773;151;210
30/03/15;919;10067;1018;517;126;1116;178;1677;151;109
30/03/15;780;10068;793;360;112;925;176;1458;53;62
30/03/15;1035;10069;1169;427;135;1283;359;1820;135;249
30/03/15;771;10070;884;232;144;989;290;1391;107;157
30/03/15;885;10071;914;289;159;1108;243;1634;78;87
30/03/15;1007;10072;1031;353;137;1224;324;1709;149;180
30/03/15;718;10073;792;183;116;809;402;1337;57;116
30/03/15;825;10074;895;247;159;983;331;1373;122;225
30/03/15;736;10075;752;219;129;849;291;1290;69;129
30/03/15;963;10076;1059;339;86;1492;105;1753;126;143
30/03/15;939;10077;913;439;138;1107;168;1578;144;130
30/03/15;1098;10078;1132;610;113;1333;174;1967;174;89
30/03/15;864;10079;934;297;150;1036;315;1637;68;93
30/03/15;1231;10080;1200;620;151;1481;179;1591;382;458
30/03/15;958;10081;950;265;176;1074;393;1528;61;319
30/03/15;1079;10082;919;335;223;1178;262;1146;44;808
30/03/15;1292;10083;961;429;238;1324;262;1216;38;999
30/03/15;809;10084;795;238;154;929;283;1125;38;441
30/03/15;1070;10085;971;319;206;1134;382;1402;43;596
30/03/15;997;10086;992;344;209;1037;399;1489;49;451
30/03/15;850;10087;911;236;195;900;430;1408;33;320
30/03/15;784;10088;825;201;173;948;287;1492;12;105
30/03/15;965;10089;893;261;179;1091;327;1325;111;422
30/03/15;637;10090;725;171;132;751;308;1125;45;192
30/03/15;969;10091;1026;252;193;1087;463;1717;39;239
30/03/15;714;10092;812;107;157;981;281;1409;24;93
30/03/15;549;10093;552;99;95;690;217;1031;18;52
30/03/15;1313;10094;1320;465;150;1802;216;2072;243;318
30/03/15;639;10095;647;180;107;765;234;1095;67;124
30/03/15;748;10096;823;285;118;915;253;1380;66;125
30/03/15;746;10097;813;295;88;866;310;1380;69;110
30/03/15;906;10098;968;208;319;1129;218;1766;16;92
30/03/15;533;10099;562;140;123;632;200;1009;7;79
30/03/15;760;10100;848;231;115;846;416;1382;52;174
30/03/15;697;10101;670;187;123;831;226;1066;75;226
30/03/15;1224;10102;1333;323;217;1457;560;2244;45;268
30/03/15;1065;10103;1157;235;170;1230;587;2048;34;140
30/03/15;806;10104;872;142;221;1110;205;1610;17;51
30/03/15;1049;10105;1205;314;267;1247;426;2084;26;144
30/03/15;477;10106;535;116;65;514;317;929;13;70
30/03/15;735;10107;808;215;140;945;243;1438;53;52
30/03/15;639;10108;723;146;83;687;446;1268;25;69
30/03/15;699;10109;844;168;111;726;538;1375;16;152
30/03/15;731;10110;903;211;117;833;473;1460;22;152
30/03/15;628;10111;690;145;108;733;332;1148;32;138
30/03/15;766;10112;810;165;113;949;349;1456;36;84
30/03/15;565;10113;630;186;106;663;240;1041;33;121
30/03/15;644;10114;748;207;94;772;319;1234;22;136
30/03/15;693;10115;725;135;99;790;394;1247;46;125
30/03/15;877;10116;990;215;144;978;530;1580;59;228
30/03/15;612;10117;683;154;100;618;423;1158;36;101
30/03/15;468;10118;527;134;70;456;335;955;11;29
30/03/15;536;10119;600;105;68;619;344;997;25;114
30/03/15;620;10120;799;171;127;717;404;1196;57;166
30/03/15;746;10121;823;205;111;860;393;1343;48;178
30/03/15;749;10122;799;159;148;872;369;1465;14;69
30/03/15;683;10123;721;192;120;764;328;1274;18;112
30/03/15;554;10124;568;124;103;692;203;1041;15;66
30/03/15;545;10125;582;133;92;572;330;1029;14;84
30/03/15;508;10126;574;122;107;611;242;1011;8;63
30/03/15;488;10127;503;192;62;560;177;941;8;42
30/03/15;766;10128;867;172;135;907;419;1504;45;84
30/03/15;580;10129;620;123;131;739;207;1143;8;49
30/03/15;557;10130;635;139;78;620;355;1052;25;115
30/03/15;541;10131;635;106;140;654;276;1123;6;47
30/03/15;582;10132;667;155;77;616;401;1137;21;91
30/03/15;793;10133;889;196;126;799;561;1487;40;155
30/03/15;702;10134;847;172;94;707;576;1371;47;131
30/03/15;571;10135;648;134;105;633;347;1087;31;101
30/03/15;668;10136;704;157;95;631;489;1254;10;108
30/03/15;758;10137;818;179;146;835;416;1400;24;152
30/03/15;731;10138;796;215;145;840;327;1310;39;178
30/03/15;798;10139;812;186;116;872;436;1361;39;210
30/03/15;753;10140;874;223;161;836;407;1415;19;193
30/03/15;524;10141;585;139;83;557;330;1008;8;93
30/03/15;754;10142;862;204;147;860;405;1379;28;209
30/03/15;820;10143;886;207;170;861;468;1471;29;206
30/03/15;888;10234;1008;183;176;1182;355;1700;48;148
30/03/15;614;10235;717;147;80;710;394;1162;57;112
30/03/15;782;10236;874;149;90;749;668;1484;49;123
30/03/15;344;10237;415;92;69;363;235;681;12;66
